            Frequency	    DB(V(VO)/V(V1:+))
     2.26986485188384	-1.71995008187463e-005
     2.29086765276779	-1.7909892244868e-005
     2.31206479017561	-1.77589385048384e-005
     2.33345806228102	-1.84027433487957e-005
     2.35504928389603	-1.81839657353625e-005
      2.3768402866249	-1.87586575447421e-005
     2.39883291901951	-1.92978312743086e-005
      2.4210290467362	-1.98008483229142e-005
     2.44343055269399	-2.02669948546339e-005
     2.46603933723436	-2.06956269950127e-005
     2.48885731828241	-2.10860247525045e-005
      2.5118864315096	-2.14374727733947e-005
     2.53512863049793	-2.17492609493606e-005
     2.55858588690567	-2.20206337438967e-005
     2.58226019063462	-2.22508574987136e-005
     2.60615354999892	-2.24391696078009e-005
     2.63026799189541	-2.34131185174186e-005
     2.65460556197556	-2.35152519390371e-005
     2.67916832481906	-2.44013978452318e-005
     2.70395836410887	-2.44140965953363e-005
     2.72897778280807	-2.52091663504489e-005
     2.75422870333819	-2.5129067527372e-005
     2.77971326775932	-2.58296445099815e-005
     2.80543363795174	-2.64816334258376e-005
     2.83139199579941	-2.70841326844376e-005
     2.85759054337497	-2.76362451963954e-005
     2.88403150312663	-2.81370212513714e-005
     2.91071711806663	-2.85855149160251e-005
     2.93764965196156	-2.89807454531303e-005
     2.96483138952437	-2.93217160334992e-005
     2.99226463660822	-2.96074335163928e-005
     3.01995172040205	-3.06652065485849e-005
     3.04789498962802	-3.0837313496698e-005
     3.07609681474074	-3.17793462842292e-005
     3.10455958812839	-3.26619073216976e-005
     3.13328572431562	-3.2655499570135e-005
     3.16227766016841	-3.34157434674195e-005
      3.1915378551008	-3.41131477173672e-005
     3.22106879128347	-3.4746496112355e-005
     3.25087297385438	-3.53145951750955e-005
     3.28095293113123	-3.58162758665645e-005
     3.31131121482595	-3.7078641948946e-005
     3.34195040026118	-3.74437269594314e-005
     3.37287308658873	-3.77385936623938e-005
     3.40408189701005	-3.87902831177595e-005
     3.43557947899879	-3.97691466698512e-005
     3.46736850452536	-4.06737567644837e-005
     3.49945167028361	-4.06745149907558e-005
     3.53183169791961	-4.14266161190235e-005
     3.56451133426249	-4.29286094034331e-005
     3.59749335155747	-4.35224037318128e-005
     3.63078054770106	-4.4034835502988e-005
     3.66437574647838	-4.52927151968325e-005
     3.69828179780271	-4.56378828436355e-005
     3.73250157795725	-4.67253815565585e-005
     3.76703798983914	-4.77253335062243e-005
     3.80189396320566	-4.86360667792198e-005
     3.83707245492284	-4.94559327055343e-005
     3.87257644921622	-5.01832043173672e-005
     3.90840895792407	-5.08162303359126e-005
     3.94457302075284	-5.21815571406313e-005
     3.98107170553503	-5.34490970669096e-005
     4.01790810848945	-5.37886823842702e-005
     4.05508535448389	-5.48550441739426e-005
     4.09260659730016	-5.5818115869684e-005
     4.13047501990167	-5.75041841047377e-005
     4.16869383470341	-5.82546877426371e-005
      4.2072662838445	-5.9724284693192e-005
     4.24619563946319	-6.02542403631474e-005
     4.28548520397446	-6.14992013359721e-005
     4.32513831035015	-6.26287495872603e-005
     4.36515832240172	-6.36406421108678e-005
      4.4055486350656	-6.53611559227893e-005
     4.44631267469115	-6.61312714228117e-005
     4.48745389933139	-6.7605458930843e-005
     4.52897579903627	-6.89530661940636e-005
     4.57088189614882	-7.01717256574619e-005
     4.61317574560386	-7.12590927263744e-005
     4.65586093522966	-7.3040918787508e-005
     4.69894108605222	-7.38582654879417e-005
     4.74241985260252	-7.53650593003648e-005
     4.78630092322646	-7.67304765198016e-005
      4.8305880203978	-7.79519094992782e-005
     4.87528490103394	-7.98550252942061e-005
     4.92039535681459	-8.07803666223579e-005
     4.96592321450344	 -8.238182741277e-005
      5.0118723362728	-8.38283089004451e-005
     5.05824662003122	-8.59451634632197e-005
     5.10504999975414	-8.70728876974579e-005
     5.15228644581765	-8.88651197520731e-005
     5.19995996533524	-9.04905081214327e-005
     5.24807460249781	-9.19458959804597e-005
     5.29663443891666	-9.40564553043924e-005
      5.3456435939698	-9.59907568308776e-005
     5.39510622515136	-9.77453461977321e-005
      5.4450265284243	-9.93170004324438e-005
     5.49540873857634	-0.000101530607123846
      5.5462571295792	 -0.00010272607531623
      5.5975760149512	-0.000105384792175768
     5.64936974812312	-0.000107018248690897
     5.70164272280757	 -0.00010927940755918
     5.75439937337167	-0.000111336179540301
     5.80764417521322	-0.000113184873793896
     5.86138164514039	-0.000114821585200373
     5.91561634175484	-0.000117070565751918
     5.97035286583847	 -0.00011909963639685
     6.02559586074368	 -0.00012173299759997
     6.08135001278728	-0.000124138103054847
     6.13762005164805	-0.000126310800255313
     6.19441075076792	-0.000128246622860618
     6.25172692775697	 -0.00013076957411392
     6.30957344480204	-0.000133046830419975
     6.36795520907927	-0.000135902252781203
     6.42687717317031	-0.000138502874612738
      6.4863443354825	-0.000140843774052676
     6.54636174067287	-0.000143748409512629
     6.60693448007608	-0.000146383757392319
     6.66806769213634	-0.000148744834156681
      6.7297665628433	 -0.00015165468140373
     6.79203632617197	-0.000154279860921074
     6.85488226452674	-0.000157443422654172
     6.91830970918949	-0.000160311579495243
     6.98232404077185	-0.000163707205243043
      7.0469306896716	-0.000166796524285709
     7.11213513653343	-0.000169573576704782
     7.17794291271375	-0.000172861152460801
     7.24435960075004	-0.000175824822534022
     7.31139083483431	-0.000179286801281485
     7.37904230129115	-0.000182412851120424
     7.44731973906003	-0.000186025188522835
      7.5162289401822	-0.000189288788500359
     7.58577575029199	-0.000193025455235626
     7.65596606911271	-0.000196400759289629
     7.72680585095718	-0.000200235683113238
     7.79830110523274	-0.000203695589203569
     7.87045789695114	-0.000207601434281729
     7.94328234724298	-0.000211118160646171
     8.01678063387695	 -0.00021506648656408
     8.09095899178399	-0.000219438954754187
     8.16582371358609	-0.000223400385646779
     8.24138115013019	-0.000227770690248179
     8.31763771102688	 -0.00023171445469788
     8.39459986519415	-0.000236051545569877
     8.47227414140614	-0.000240774108757557
     8.55066712884701	-0.000245045465238735
     8.62978547766988	-0.000249685519940489
     8.70963589956099	-0.000254686027188916
     8.79022516830903	-0.000259209669596264
      8.8715601203798	-0.000264076168550619
     8.95364765549613	-0.000268447918087571
     9.03649473722321	 -0.00027397234318052
     9.12010839355929	-0.000278983785393275
     9.20449571753191	-0.000284300651526887
     9.28966386779957	-0.000289085218443726
     9.37562006925901	-0.000294984043589531
     9.46237161365814	-0.000300330366541769
     9.54992586021457	-0.000305942186136412
     9.63829023623992	-0.000310981151228955
     9.72747223776987	-0.000317092625094344
     9.81747943020006	-0.000323437915354985
