                   RD	              I(J1:d)
      3311.3112148259	  0.00469098519533873
     3388.44156139201	  0.00458762096241117
      3467.3685045253	  0.00448644114658237
     3548.13389233574	  0.00438740430399776
       3630.780547701	  0.00429046992212534
     3715.35229097171	  0.00419559888541698
     3801.89396320559	  0.00410275021567941
     3890.45144994279	  0.00401188619434834
     3981.07170553495	  0.00392296724021435
     4073.80277804111	   0.0038359563332051
     4168.69383470333	   0.0037508150562644
     4265.79518801591	  0.00366750685498118
     4365.15832240164	   0.0035859951749444
     4466.83592150961	  0.00350624416023493
     4570.88189614873	  0.00342821842059493
     4677.35141287196	   0.0033518832642585
     4786.30092322636	  0.00327720446512103
     4897.78819368444	  0.00320414826273918
      5011.8723362727	  0.00313268159516156


