#f (hz)	V/V	dB
34.7085347157	0.9999999997	-2.83E-09
34.7885661824	0.9999999997	-2.87E-09
34.868782187	0.9999999997	-2.91E-09
34.9491831548	0.9999999997	-2.95E-09
35.0297695124	0.9999999997	-2.99E-09
35.1105416872	0.9999999997	-3.03E-09
35.1915001078	0.9999999996	-3.08E-09
35.2726452035	0.9999999996	-3.12E-09
35.3539774048	0.9999999996	-3.16E-09
35.4354971431	0.9999999996	-3.21E-09
35.5172048509	0.9999999996	-3.25E-09
35.5991009615	0.9999999996	-3.30E-09
35.6811859095	0.9999999996	-3.34E-09
35.7634601301	0.9999999996	-3.39E-09
35.84592406	0.9999999996	-3.44E-09
35.9285781364	0.9999999996	-3.48E-09
36.0114227978	0.9999999996	-3.53E-09
36.0944584837	0.9999999996	-3.58E-09
36.1776856345	0.9999999996	-3.63E-09
36.2611046918	0.9999999996	-3.68E-09
36.344716098	0.9999999996	-3.73E-09
36.4285202967	0.9999999996	-3.79E-09
36.5125177323	0.9999999996	-3.84E-09
36.5967088506	0.9999999996	-3.89E-09
36.6810940979	0.9999999995	-3.95E-09
36.7656739221	0.9999999995	-4.00E-09
36.8504487717	0.9999999995	-4.06E-09
36.9354190964	0.9999999995	-4.11E-09
37.0205853471	0.9999999995	-4.17E-09
37.1059479753	0.9999999995	-4.23E-09
37.191507434	0.9999999995	-4.29E-09
37.277264177	0.9999999995	-4.35E-09
37.3632186592	0.9999999995	-4.41E-09
37.4493713365	0.9999999995	-4.47E-09
37.535722666	0.9999999995	-4.53E-09
37.6222731057	0.9999999995	-4.59E-09
37.7090231147	0.9999999995	-4.66E-09
37.7959731532	0.9999999995	-4.72E-09
37.8831236825	0.9999999994	-4.79E-09
37.9704751647	0.9999999994	-4.85E-09
38.0580280633	0.9999999994	-4.92E-09
38.1457828428	0.9999999994	-4.99E-09
38.2337399685	0.9999999994	-5.06E-09
38.3218999071	0.9999999994	-5.13E-09
38.4102631262	0.9999999994	-5.20E-09
38.4988300946	0.9999999994	-5.27E-09
38.587601282	0.9999999994	-5.35E-09
38.6765771594	0.9999999994	-5.42E-09
38.7657581988	0.9999999994	-5.50E-09
38.8551448731	0.9999999994	-5.57E-09
38.9447376566	0.9999999993	-5.65E-09
39.0345370245	0.9999999993	-5.73E-09
39.1245434531	0.9999999993	-5.81E-09
39.2147574199	0.9999999993	-5.89E-09
39.3051794034	0.9999999993	-5.97E-09
39.3958098834	0.9999999993	-6.06E-09
39.4866493405	0.9999999993	-6.14E-09
39.5776982565	0.9999999993	-6.23E-09
39.6689571146	0.9999999993	-6.31E-09
39.7604263987	0.9999999993	-6.40E-09
39.8521065941	0.9999999993	-6.49E-09
39.943998187	0.9999999992	-6.58E-09
40.036101665	0.9999999992	-6.67E-09
40.1284175166	0.9999999992	-6.76E-09
40.2209462315	0.9999999992	-6.86E-09
40.3136883005	0.9999999992	-6.95E-09
40.4066442156	0.9999999992	-7.05E-09
40.4998144698	0.9999999992	-7.15E-09
40.5931995574	0.9999999992	-7.25E-09
40.6867999738	0.9999999992	-7.35E-09
40.7806162154	0.9999999991	-7.45E-09
40.87464878	0.9999999991	-7.55E-09
40.9688981663	0.9999999991	-7.66E-09
41.0633648742	0.9999999991	-7.77E-09
41.1580494049	0.9999999991	-7.87E-09
41.2529522607	0.9999999991	-7.98E-09
41.3480739449	0.9999999991	-8.09E-09
41.4434149621	0.9999999991	-8.21E-09
41.538975818	0.999999999	-8.32E-09
41.6347570197	0.999999999	-8.44E-09
41.7307590751	0.999999999	-8.55E-09
41.8269824935	0.999999999	-8.67E-09
41.9234277853	0.999999999	-8.79E-09
42.0200954622	0.999999999	-8.92E-09
42.1169860368	0.999999999	-9.04E-09
42.2141000232	0.9999999989	-9.17E-09
42.3114379365	0.9999999989	-9.29E-09
42.409000293	0.9999999989	-9.42E-09
42.5067876103	0.9999999989	-9.55E-09
42.6048004071	0.9999999989	-9.69E-09
42.7030392033	0.9999999989	-9.82E-09
42.80150452	0.9999999989	-9.96E-09
42.9001968795	0.9999999988	-1.01E-08
42.9991168054	0.9999999988	-1.02E-08
43.0982648223	0.9999999988	-1.04E-08
43.1976414563	0.9999999988	-1.05E-08
43.2972472343	0.9999999988	-1.07E-08
43.3970826849	0.9999999988	-1.08E-08
43.4971483376	0.9999999987	-1.10E-08
43.5974447232	0.9999999987	-1.11E-08
43.6979723738	0.9999999987	-1.13E-08
43.7987318225	0.9999999987	-1.14E-08
43.8997236039	0.9999999987	-1.16E-08
44.0009482536	0.9999999986	-1.18E-08
44.1024063087	0.9999999986	-1.19E-08
44.2040983074	0.9999999986	-1.21E-08
44.306024789	0.9999999986	-1.23E-08
44.4081862942	0.9999999986	-1.24E-08
44.5105833649	0.9999999985	-1.26E-08
44.6132165444	0.9999999985	-1.28E-08
44.7160863771	0.9999999985	-1.29E-08
44.8191934085	0.9999999985	-1.31E-08
44.9225381857	0.9999999985	-1.33E-08
45.0261212569	0.9999999984	-1.35E-08
45.1299431715	0.9999999984	-1.37E-08
45.2340044803	0.9999999984	-1.39E-08
45.3383057351	0.9999999984	-1.41E-08
45.4428474895	0.9999999984	-1.43E-08
45.5476302977	0.9999999983	-1.45E-08
45.6526547158	0.9999999983	-1.47E-08
45.7579213008	0.9999999983	-1.49E-08
45.863430611	0.9999999983	-1.51E-08
45.9691832062	0.9999999982	-1.53E-08
46.0751796474	0.9999999982	-1.55E-08
46.1814204968	0.9999999982	-1.57E-08
46.2879063179	0.9999999982	-1.59E-08
46.3946376757	0.9999999981	-1.62E-08
46.5016151362	0.9999999981	-1.64E-08
46.608839267	0.9999999981	-1.66E-08
46.7163106369	0.9999999981	-1.68E-08
46.8240298158	0.999999998	-1.71E-08
46.9319973753	0.999999998	-1.73E-08
47.040213888	0.999999998	-1.76E-08
47.148679928	0.999999998	-1.78E-08
47.2573960706	0.9999999979	-1.80E-08
47.3663628926	0.9999999979	-1.83E-08
47.4755809719	0.9999999979	-1.85E-08
47.5850508879	0.9999999978	-1.88E-08
47.6947732213	0.9999999978	-1.91E-08
47.8047485542	0.9999999978	-1.93E-08
47.9149774698	0.9999999977	-1.96E-08
48.025460553	0.9999999977	-1.99E-08
48.1361983897	0.9999999977	-2.02E-08
48.2471915674	0.9999999976	-2.04E-08
48.3584406749	0.9999999976	-2.07E-08
48.4699463022	0.9999999976	-2.10E-08
48.5817090409	0.9999999975	-2.13E-08
48.6937294839	0.9999999975	-2.16E-08
48.8060082252	0.9999999975	-2.19E-08
48.9185458606	0.9999999974	-2.22E-08
49.031342987	0.9999999974	-2.25E-08
49.1444002027	0.9999999974	-2.28E-08
49.2577181075	0.9999999973	-2.31E-08
49.3712973024	0.9999999973	-2.35E-08
49.48513839	0.9999999973	-2.38E-08
49.599241974	0.9999999972	-2.41E-08
49.7136086599	0.9999999972	-2.45E-08
49.8282390541	0.9999999971	-2.48E-08
49.9431337649	0.9999999971	-2.51E-08
50.0582934017	0.9999999971	-2.55E-08
50.1737185753	0.999999997	-2.58E-08
50.289409898	0.999999997	-2.62E-08
50.4053679835	0.9999999969	-2.66E-08
50.5215934469	0.9999999969	-2.69E-08
50.6380869048	0.9999999969	-2.73E-08
50.7548489751	0.9999999968	-2.77E-08
50.8718802771	0.9999999968	-2.81E-08
50.9891814317	0.9999999967	-2.85E-08
51.106753061	0.9999999967	-2.89E-08
51.2245957888	0.9999999966	-2.93E-08
51.3427102402	0.9999999966	-2.97E-08
51.4610970416	0.9999999965	-3.01E-08
51.5797568212	0.9999999965	-3.05E-08
51.6986902083	0.9999999964	-3.09E-08
51.8178978337	0.9999999964	-3.14E-08
51.93738033	0.9999999963	-3.18E-08
52.0571383307	0.9999999963	-3.22E-08
52.1771724713	0.9999999962	-3.27E-08
52.2974833885	0.9999999962	-3.31E-08
52.4180717204	0.9999999961	-3.36E-08
52.5389381067	0.9999999961	-3.41E-08
52.6600831885	0.999999996	-3.45E-08
52.7815076086	0.999999996	-3.50E-08
52.9032120108	0.9999999959	-3.55E-08
53.025197041	0.9999999959	-3.60E-08
53.1474633461	0.9999999958	-3.65E-08
