                 Time	                V(VO)	                V(VI)
2.84835824989585e-005	  0.00584701402112842	                    5
4.57382211708335e-005	   0.0225957166403532	                    5
 7.3786927225521e-005	   0.0845004543662071	                    5
 0.000124848938944271	    0.330016225576401	                    5
 0.000203535462381771	     1.02132523059845	                    5
 0.000292561341288021	     2.08646702766418	                    5
 0.000398786927225521	     3.36645460128784	                    5
 0.000528132630350521	     4.50195217132568	                    5
 0.000653327942850521	      5.0612211227417	                    5
 0.000793562317850521	     5.19550657272339	                    5
 0.000956013489725521	     5.08135175704956	                    5
  0.00104561309910052	     5.01701259613037	                    5
  0.00115786895847552	     4.96674776077271	                    5
  0.00127045440769427	      4.9534797668457	                    5
  0.00134744415378802	     4.96024036407471	                    5
  0.00134969973850922	     4.96063041687012	                    5
  0.00135421099949555	     4.96142244338989	                    5
   0.0013632335214682	     4.96302843093872	                    5
     0.00137000000102	     4.96425771713257	     4.89999961853027
    0.001370000001118	     4.96425771713257	     4.40999984741211
    0.001370000001314	     4.96425771713257	     3.43001890182495
  0.00137000000170599	     4.96425771713257	     1.47005784511566
     0.00137000000202	     4.96425771713257	                    0
   0.0013700000020984	     4.96425771713257	                    0
   0.0013700000022552	     4.96425771713257	                    0
  0.00137000000256879	     4.96425771713257	                    0
  0.00137000000319598	     4.96425771713257	                    0
  0.00137000000445035	     4.96425771713257	                    0
   0.0013700000069591	     4.96425771713257	                    0
   0.0013700000119766	     4.96425771713257	                    0
   0.0013700000220116	     4.96425771713257	                    0
   0.0013700000420816	     4.96425771713257	                    0
  0.00137000008222161	     4.96425771713257	                    0
  0.00137000016250161	     4.96425771713257	                    0
  0.00137000032306163	     4.96425771713257	                    0
  0.00137000064418165	     4.96425771713257	                    0
   0.0013700012864217	     4.96425771713257	                    0
  0.00137000257090179	     4.96425819396973	                    0
  0.00137000513986198	     4.96425867080688	                    0
  0.00137001027778236	      4.9642596244812	                    0
  0.00137002055362312	     4.96426153182983	                    0
  0.00137004110530464	      4.9642653465271	                    0
  0.00137008220866768	     4.96427297592163	                    0
  0.00137016441539375	     4.96428775787353	                    0
   0.0013703288288459	      4.9643177986145	                    0
   0.0013706576557502	     4.96437788009644	                    0
  0.00137131530955879	      4.9644980430603	                    0
  0.00137263061717598	     4.96473455429077	                    0
  0.00137526123241035	     4.96518182754517	                    0
   0.0013805224628791	     4.96586751937866	                    0
   0.0013910449238166	     4.96564531326294	                    0
  0.00141116821483223	     4.95477771759033	                    0
   0.0014487353535041	     4.87741327285767	                    0
  0.00150400268748848	     4.59564208984375	                    0
  0.00157120239451973	     3.99618124961853	                    0
  0.00163945190623848	     3.19380354881287	                    0
  0.00173513061717598	     2.01280808448792	                    0
  0.00185661499217598	    0.800426125526428	                    0
  0.00198276245311348	   0.0730399489402771	                    0
  0.00212924682811348	   -0.193182200193405	                    0
  0.00222040893748848	   -0.180964276194572	                    0
  0.00234074585155098	   -0.071773074567318	                    0
  0.00241378051951973	  -0.0169049184769392	                    0
  0.00250031616405098	    0.026680825278163	                    0
  0.00257866089061348	   0.0424520820379257	                    0
  0.00266960327342598	   0.0396432913839817	                    0
     0.00275000000002	   0.0293254163116217	     0.10000029951334
    0.002750000000118	   0.0293254163116217	    0.590001165866852
    0.002750000000314	   0.0293254163116217	     1.56998109817505
  0.00275000000070599	   0.0293254163116217	     3.52994322776794
     0.00275000000102	   0.0293254163116217	                    5
   0.0027500000010984	   0.0293254163116217	                    5
   0.0027500000012552	   0.0293254163116217	                    5
  0.00275000000156879	   0.0293254163116217	                    5
  0.00275000000219598	   0.0293254163116217	                    5
  0.00275000000345035	   0.0293254163116217	                    5
   0.0027500000059591	   0.0293254163116217	                    5
   0.0027500000109766	   0.0293254163116217	                    5
   0.0027500000210116	   0.0293254144489765	                    5
   0.0027500000410816	   0.0293254107236862	                    5
  0.00275000008122161	   0.0293254051357508	                    5
  0.00275000016150161	    0.029325395822525	                    5
  0.00275000032206163	   0.0293253734707832	                    5
  0.00275000064318165	   0.0293253287672996	                    5
   0.0027500012854217	   0.0293252412229776	                    5
  0.00275000256990179	   0.0293250642716885	                    5
  0.00275000513886198	   0.0293247122317553	                    5
  0.00275001027678236	   0.0293240062892437	                    5
  0.00275002055262312	   0.0293225962668657	                    5
  0.00275004110430464	   0.0293197743594646	                    5
  0.00275008220766768	   0.0293141342699528	                    5
  0.00275016441439375	   0.0293028578162193	                    5
   0.0027503288278459	   0.0292803253978491	                    5
   0.0027506576547502	   0.0292353685945272	                    5
  0.00275131530855879	   0.0291461106389761	                    5
  0.00275263061617598	   0.0289719253778458	                    5
  0.00275526123141035	   0.0286543220281601	                    5
   0.0027605224618791	   0.0282450076192617	                    5
   0.0027710449228166	   0.0290809664875269	                    5
